13:24:16.072 DEBUG core.BookListController : Book title pressed.
13:24:19.267 DEBUG core.DetailedController : Save button pressed.
13:19:19.334 INFO  core.BookListController : Book title pressed.
14:36:12.128 INFO  controller.BookListController : Book title pressed.
12:57:41.688 INFO  controller.Main : Creating Connection with DB...
12:59:30.874 INFO  controller.Main : Creating Connection with DB...
13:05:06.267 INFO  controller.Main : Creating Connection with DB...
13:05:13.915 ERROR controller.AppController : Empty view or controller.
13:05:26.740 ERROR controller.AppController : Empty view or controller.
13:05:28.846 INFO  controller.Main : Closing connection to DB...
14:32:21.260 INFO  controller.Main : Creating Connection with DB...
14:32:24.662 ERROR controller.AppController : Empty view or controller.
14:33:07.257 INFO  controller.Main : Creating Connection with DB...
14:33:10.922 ERROR controller.AppController : Empty view or controller.
14:34:46.966 INFO  controller.Main : Closing connection to DB...
14:34:49.387 INFO  controller.Main : Closing connection to DB...
14:40:47.457 INFO  controller.Main : Creating Connection with DB...
14:45:18.844 INFO  controller.Main : Closing connection to DB...
14:56:41.357 INFO  controller.Main : Creating Connection with DB...
15:01:28.522 INFO  controller.Main : Closing connection to DB...
15:21:15.778 INFO  controller.Main : Creating Connection with DB...
15:22:10.660 INFO  controller.Main : Closing connection to DB...
15:24:48.304 INFO  controller.Main : Creating Connection with DB...
15:24:55.877 INFO  controller.Main : Closing connection to DB...
15:46:11.101 INFO  controller.Main : Creating Connection with DB...
15:51:03.062 INFO  controller.Main : Creating Connection with DB...
15:51:20.636 INFO  controller.Main : Closing connection to DB...
15:51:24.653 INFO  controller.Main : Closing connection to DB...
15:51:45.587 INFO  controller.Main : Creating Connection with DB...
15:51:52.099 INFO  controller.Main : Closing connection to DB...
15:53:43.634 INFO  controller.Main : Creating Connection with DB...
15:54:08.713 INFO  controller.Main : Creating Connection with DB...
15:56:01.892 INFO  controller.Main : Creating Connection with DB...
15:59:55.813 INFO  controller.Main : Closing connection to DB...
15:59:58.571 INFO  controller.Main : Closing connection to DB...
16:00:01.293 INFO  controller.Main : Closing connection to DB...
23:48:57.354 INFO  controller.Main : Creating Connection with DB...
00:01:21.039 INFO  controller.Main : Closing connection to DB...
00:01:28.766 INFO  controller.Main : Creating Connection with DB...
00:01:47.291 INFO  controller.Main : Closing connection to DB...
12:00:39.844 INFO  controller.Main : Creating Connection with DB...
12:00:55.273 INFO  controller.Main : Closing connection to DB...
12:37:47.929 INFO  controller.Main : Creating Connection with DB...
12:41:29.685 INFO  controller.Main : Closing connection to DB...
12:41:35.108 INFO  controller.Main : Creating Connection with DB...
11:44:32.803 INFO  controller.Main : Creating Connection with DB...
11:44:47.141 INFO  controller.Main : Closing connection to DB...
11:54:20.656 INFO  controller.Main : Creating Connection with DB...
11:54:28.301 INFO  controller.Main : Closing connection to DB...
12:02:46.678 INFO  controller.Main : Creating Connection with DB...
12:02:58.342 INFO  controller.Main : Closing connection to DB...
12:08:44.160 INFO  controller.Main : Creating Connection with DB...
12:08:47.337 ERROR controller.AppController : Empty view or controller.
12:12:00.078 INFO  controller.Main : Creating Connection with DB...
12:14:32.496 INFO  controller.Main : Closing connection to DB...
12:14:34.865 INFO  controller.Main : Closing connection to DB...
12:17:33.555 INFO  controller.Main : Creating Connection with DB...
12:17:57.317 INFO  controller.Main : Closing connection to DB...
12:18:42.365 INFO  controller.Main : Creating Connection with DB...
12:18:53.952 INFO  controller.Main : Closing connection to DB...
15:02:14.291 INFO  controller.Main : Creating Connection with DB...
15:03:53.214 INFO  controller.Main : Closing connection to DB...
15:14:55.500 INFO  controller.Main : Creating Connection with DB...
15:17:21.819 INFO  controller.Main : Creating Connection with DB...
15:20:36.144 INFO  controller.Main : Closing connection to DB...
15:20:38.512 INFO  controller.Main : Closing connection to DB...
15:25:50.153 INFO  controller.Main : Creating Connection with DB...
15:25:56.411 INFO  controller.Main : Closing connection to DB...
15:26:49.587 INFO  controller.Main : Creating Connection with DB...
15:27:51.726 INFO  controller.Main : Closing connection to DB...
15:27:54.913 INFO  controller.Main : Creating Connection with DB...
15:28:39.976 INFO  controller.Main : Closing connection to DB...
15:29:09.763 INFO  controller.Main : Creating Connection with DB...
15:29:22.136 INFO  controller.Main : Closing connection to DB...
15:30:27.620 INFO  controller.Main : Creating Connection with DB...
15:30:40.713 INFO  controller.Main : Closing connection to DB...
15:51:43.609 INFO  controller.Main : Creating Connection with DB...
15:51:51.833 INFO  controller.Main : Creating Connection with DB...
15:52:08.811 INFO  controller.Main : Creating Connection with DB...
